user_id,user_first_touch_timestamp,email,updated
UA000000107338110,1593874163848994.0,blackburnjohn@gay.biz,2023-03-18 18:50:05.177
UA000000107354520,1593876102569545.0,reedjennifer@freeman.com,2023-03-18 18:50:05.177
UA000000107359655,1593876696866893.0,roberthubbard55@hotmail.com,2023-03-18 18:50:05.177
UA000000107362264,1593876996344195.0,amandafrazier@hotmail.com,2023-03-18 18:50:05.177
UA000000107362440,1593877015690335.0,laura65@garcia.biz,2023-03-18 18:50:05.177
UA000000107363722,1593877154338249.0,tmiller67@yahoo.com,2023-03-18 18:50:05.177
UA000000107367850,1593877599590013.0,xmartinez27@gmail.com,2023-03-18 18:50:05.177
UA000000107370290,1593877869468334.0,uflynn@anderson.com,2023-03-18 18:50:05.177
UA000000107371743,1593878036347579.0,nancyellis34@hotmail.com,2023-03-18 18:50:05.177
UA000000107371836,1593878046932741.0,nporter32@gmail.com,2023-03-18 18:50:05.177
UA000000107372842,1593878162052188.0,johnsontiffany9@yahoo.com,2023-03-18 18:50:05.177
UA000000107373248,1593878202325470.0,kyletaylor@hotmail.com,2023-03-18 18:50:05.177
UA000000107374597,1593878346590531.0,nalvarado76@gmail.com,2023-03-18 18:50:05.177
UA000000107377002,1593878617459649.0,bergergabriel@taylor.com,2023-03-18 18:50:05.177
UA000000107377542,1593878679086870.0,jonathandyer@hotmail.com,2023-03-18 18:50:05.177
UA000000107377602,1593878686736308.0,janetallen@moore-acosta.com,2023-03-18 18:50:05.177
UA000000107378066,1593878738403010.0,peterhodges@yahoo.com,2023-03-18 18:50:05.177
UA000000107380134,1593878971294004.0,ydavis47@hotmail.com,2023-03-18 18:50:05.177
UA000000107381302,1593879092723494.0,iguzman95@yahoo.com,2023-03-18 18:50:05.177
UA000000107381817,1593879150228743.0,ellislisa@thompson-chandler.org,2023-03-18 18:50:05.177
UA000000107381951,1593879164209130.0,eavila@baker-smith.com,2023-03-18 18:50:05.177
UA000000107383420,1593879323432432.0,,2023-03-18 18:50:05.177
UA000000107383437,1593879324795270.0,,2023-03-18 18:50:05.177
UA000000107383471,1593879328837515.0,,2023-03-18 18:50:05.177
UA000000107383569,1593879340349155.0,,2023-03-18 18:50:05.177
UA000000107383640,1593879349302857.0,,2023-03-18 18:50:05.177
UA000000107383684,1593879354256821.0,,2023-03-18 18:50:05.177
UA000000107384160,1593879407637240.0,,2023-03-18 18:50:05.177
UA000000107384395,1593879432186825.0,,2023-03-18 18:50:05.177
UA000000107384470,1593879442144804.0,,2023-03-18 18:50:05.177
UA000000107384520,1593879447137299.0,williamherrera@dudley-torres.org,2023-03-18 18:50:05.177
UA000000107384520,1593879447137299.0,,2023-03-18 18:50:05.177
UA000000107384572,1593879452200834.0,,2023-03-18 18:50:05.177
UA000000107384587,1593879453527638.0,,2023-03-18 18:50:05.177
UA000000107384593,1593879454385538.0,,2023-03-18 18:50:05.177
UA000000107384617,1593879457430567.0,,2023-03-18 18:50:05.177
UA000000107384764,1593879471049369.0,,2023-03-18 18:50:05.177
UA000000107384966,1593879490480251.0,,2023-03-18 18:50:05.177
UA000000107385035,1593879496927585.0,brett84@nguyen.com,2023-03-18 18:50:05.177
UA000000107385035,1593879496927585.0,,2023-03-18 18:50:05.177
UA000000107385074,1593879501203857.0,,2023-03-18 18:50:05.177
UA000000107385075,1593879501480126.0,,2023-03-18 18:50:05.177
UA000000107385167,1593879513224485.0,,2023-03-18 18:50:05.177
UA000000107385277,1593879524935108.0,,2023-03-18 18:50:05.177
UA000000107385360,1593879534473516.0,,2023-03-18 18:50:05.177
UA000000107385374,1593879536359533.0,,2023-03-18 18:50:05.177
UA000000107385379,1593879536983818.0,,2023-03-18 18:50:05.177
UA000000107385467,1593879545852333.0,,2023-03-18 18:50:05.177
UA000000107385498,1593879549164860.0,,2023-03-18 18:50:05.177
UA000000107385525,1593879552381184.0,,2023-03-18 18:50:05.177
UA000000107385538,1593879554165566.0,,2023-03-18 18:50:05.177
UA000000107385552,1593879555120037.0,,2023-03-18 18:50:05.177
UA000000107385735,1593879573979670.0,epatrick@bennett.com,2023-03-18 18:50:05.177
UA000000107385735,1593879573979670.0,,2023-03-18 18:50:05.177
UA000000107385736,1593879574086394.0,,2023-03-18 18:50:05.177
UA000000107385886,1593879587774706.0,,2023-03-18 18:50:05.177
UA000000107385891,1593879588084363.0,lallen@brown.biz,2023-03-18 18:50:05.177
UA000000107385891,1593879588084363.0,,2023-03-18 18:50:05.177
UA000000107385910,1593879591306851.0,,2023-03-18 18:50:05.177
UA000000107386007,1593879601570208.0,,2023-03-18 18:50:05.177
UA000000107386246,1593879627940083.0,,2023-03-18 18:50:05.177
UA000000107386381,1593879642433693.0,,2023-03-18 18:50:05.177
UA000000107386398,1593879645701612.0,,2023-03-18 18:50:05.177
UA000000107386487,1593879654878580.0,,2023-03-18 18:50:05.177
UA000000107386571,1593879663527423.0,,2023-03-18 18:50:05.177
UA000000107386616,1593879668206653.0,,2023-03-18 18:50:05.177
UA000000107386620,1593879668454372.0,michaelwilliamson@johnson-brown.com,2023-03-18 18:50:05.177
UA000000107386620,1593879668454372.0,,2023-03-18 18:50:05.177
UA000000107386750,1593879685678647.0,,2023-03-18 18:50:05.177
UA000000107386821,1593879695266575.0,,2023-03-18 18:50:05.177
UA000000107386838,1593879696869252.0,,2023-03-18 18:50:05.177
UA000000107387009,1593879715090144.0,,2023-03-18 18:50:05.177
